                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93709,                 2.6202,                 1.0159,                0.35563,                0.22013,                 0.1583,                0.12508,                0.85511,                 2.4507,                0.99448,               0.066847,              0.0001666,              0.0001666
                      2,                0.79758,                 1.4333,                0.96385,                0.42572,                0.39887,                0.37382,                0.29729,                0.80383,                 1.5955,                0.99007,               0.033667,             0.00031993,             0.00031993
                      3,                0.75218,                 1.0492,                0.94843,                0.60786,                0.45617,                0.51347,                0.41052,                0.80932,                 1.2623,                0.99719,             0.00047392,             0.00045994,             0.00045994
                      4,                0.70414,                0.86205,                 0.9268,                0.63946,                0.61057,                0.66617,                0.52493,                0.77782,                 1.1548,                0.97167,                0.00044,                0.00044,                0.00044
                      5,                0.67448,                0.71853,                0.91095,                0.75136,                0.60994,                0.72468,                0.57031,                0.77132,                0.99244,                0.96598,                0.00042,                0.00042,                0.00042
                      6,                0.65456,                0.64377,                0.90169,                 0.7211,                0.70088,                0.72926,                0.57621,                 0.7624,                0.91694,                0.96524,                 0.0004,                 0.0004,                 0.0004
                      7,                0.62615,                0.59475,                0.88998,                0.74752,                0.69422,                 0.7543,                0.58403,                0.77071,                0.93663,                0.98233,                0.00038,                0.00038,                0.00038
                      8,                0.60971,                0.56126,                0.88545,                0.73757,                0.72971,                 0.7613,                0.59494,                0.75518,                 1.0011,                 0.9573,                0.00036,                0.00036,                0.00036
                      9,                 0.5921,                0.52211,                0.87614,                0.75376,                0.72813,                0.76935,                0.60605,                0.75803,                0.89616,                0.97014,                0.00034,                0.00034,                0.00034
                     10,                 0.5763,                0.49775,                0.87015,                0.76389,                 0.7597,                0.78134,                0.61416,                0.74964,                0.96992,                0.95445,                0.00032,                0.00032,                0.00032
                     11,                  0.572,                0.47921,                0.86733,                0.77343,                0.76235,                 0.7943,                 0.6325,                0.73982,                0.82043,                0.96076,                 0.0003,                 0.0003,                 0.0003
                     12,                0.55554,                0.45582,                0.86207,                0.78069,                0.75372,                0.80193,                0.64255,                0.72505,                0.79582,                0.94879,                0.00028,                0.00028,                0.00028
                     13,                0.53922,                0.43746,                0.85588,                0.82167,                0.78426,                0.82742,                0.65119,                0.73355,                0.72044,                0.94717,                0.00026,                0.00026,                0.00026
                     14,                0.53188,                0.42816,                0.85208,                0.78803,                0.76883,                0.80891,                0.65114,                0.71666,                0.78293,                0.93447,                0.00024,                0.00024,                0.00024
                     15,                0.52288,                 0.4071,                0.85135,                0.79173,                 0.7842,                0.82747,                0.65946,                0.70713,                0.71111,                0.93508,                0.00022,                0.00022,                0.00022
                     16,                0.51506,                0.39389,                0.84362,                0.78332,                0.78555,                0.82135,                0.65579,                0.71616,                0.72105,                0.94154,                 0.0002,                 0.0002,                 0.0002
                     17,                0.50184,                0.38849,                0.83986,                0.78497,                0.80081,                0.82593,                0.66283,                0.72429,                0.71539,                 0.9487,                0.00018,                0.00018,                0.00018
                     18,                0.49136,                0.37489,                0.83814,                 0.8147,                0.80062,                0.82769,                0.67033,                0.70444,                0.74361,                0.93344,                0.00016,                0.00016,                0.00016
                     19,                0.47948,                0.36149,                0.83211,                0.81109,                0.77494,                0.84222,                0.67548,                0.71011,                0.68289,                0.93116,                0.00014,                0.00014,                0.00014
                     20,                0.47611,                0.35398,                0.83296,                0.74673,                0.83807,                0.85408,                0.68107,                0.70869,                0.71202,                0.93126,                0.00012,                0.00012,                0.00012
